"expediente","producto","titular","registrosanitario","fechaexpedicion","fechavencimiento","estadoregistro","expedientecum","consecutivocum","cantidadcum","descripcioncomercial","estadocum","fechaactivo","fechainactivo","muestramedica","unidad","atc","descripcionatc","viaadministracion","concentracion","principioactivo","unidadmedida","cantidad","unidadreferencia","formafarmaceutica","nombrerol","tiporol","modalidad","ium"
"19948887","MICROGYNON® 30 CD","ADIUM SAS","INVIMA 2020M-0003865-R2","2004 Oct 12 12:00:00 AM","3000 Jan 01 12:00:00 AM","En tramite renov","19948887","1","28","CAJA CON UN BLISTER (PVC/ALUMINIO) X 28 GRAGEAS (21 GRAGEAS ACTIVAS Y 7 GRAGEAS PLACEBOS)","Activo","11/10/2006",,"No","U","G03AA07","LEVONORGESTREL Y ETINILESTRADIOL","ORAL","A","ETINILESTRADIOL","mg","0,03","GRAGEA ACTIVA","TABLETA CUBIERTA (GRAGEA)","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER",
"20009221","LUMTIL®","PROCAPS S.A.","INVIMA 2020M-0010603-R1","2010 Mar 30 12:00:00 AM","2020 Oct 01 12:00:00 AM","En tramite renov","20009221","1","1","CAJA CON 1 TUBO COLAPSIBLE X 10 G MAS 1 APLICADOR.","Activo","09/22/2009",,"No","U","G01AF02","CLOTRIMAZOL","VAGINAL","D","CLINDAMICINA FOSFATO (EQUIVALENTE A CLINDAMICINA BASE)","g","2","100 GRAMOS DE CREMA","CREMA VAGINAL","PROCAPS S.A.","FABRICANTE","FABRICAR Y VENDER",
"20009806","GRIPOFEN CAPSULAS","LABORATORIOS SERES S.A.S.","INVIMA 2020M-0010823-R1","2010 May 25 12:00:00 AM","2025 Dec 28 12:00:00 AM","En tramite renov","20009806","9","50","PRESENTACION COMERCIAL: PLEGADIZA POR 50 CÁPSULAS (10 BLISTER POR 5 CÁPSULAS CADA UNO) MATERIAL DE ENVASE (BLISTER PVC / ALUMINIO).","Activo","09/09/2013","06/03/2020","No","U","N02BE51","PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS","ORAL","A","FENILEFRINA CLORHIDRATO","mg","10","CAPSULA","CAPSULA DURA","FABRIFARMA S.A.","FABRICANTE","FABRICAR Y VENDER",
"20096688","SECFLU®","JOINPHARM S.A.","INVIMA 2021M-0016757-R1","2016 Jan 28 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","20096688","1","2","PRESENTACION COMERCIAL: CAJA PLEGADIZA POR 2 TABLETAS RECUBIERTAS EN UNSIN DATOBLÍSTER ALU/PVC TRANSPARENTE CON 2 TABLETAS RECUBIERTAS CADA BLÍSTER.","Activo","10/19/2015",,"No","U","P01AB52","SECNIDAZOL. COMBINACIONES","ORAL","A","FLUCONAZOL","mg","75","TABLETA","TABLETA RECUBIERTA","COLOMPACK S.A.","FABRICANTE","FABRICAR Y VENDER",
"20088116","X RAY DOL®","GENOMMA LAB COLOMBIA LTDA.","INVIMA 2021M-0016526-R1","2015 Nov 10 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","20088116","33","36","CAJA PLEGADIZA POR 36 TABLETAS QUE CONTIENE 9 BLÍSTER EN PVC -ALUMINIO POR 4 TABLETAS","Activo","08/22/2022",,"No","U","N02BE51","PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS","ORAL","A","ACETAMINOFEN","mg","250","TABLETA","TABLETA","COASPHARMA S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"20095222","EMTRICITABINA 200 MG TENOFOVIR 300 MG","SALUS PHARMA LABS. S.A.S","INVIMA 2021M-0016701-R1","2015 Dec 15 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","20095222","2","60","CAJA CON 6 BLISTERSIN DATOPVC/ PVDC BLANCO / ALUMINIOSIN DATOPOR 10 TABLETAS C/U","Activo","12/04/2015","04/01/2021","No","U","J05AR03","TENOFOVIR DISOPROXIL Y EMTRICITABINA","ORAL","A","EMTRICITABINA","mg","200","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","NUTRI MACK S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"20063717","MERAVILL®","ANZG LTDA","INVIMA 2014M-0015055","2014 Jun 03 12:00:00 AM","3000 Jan 01 12:00:00 AM","En tramite renov","20063717","2","10","CAJA X 10SIN DATOCÁPSULAS EN BLISTERSIN DATOEN PVC-PVDC TRANSPARENTE /ALUMINIO ENSIN DATOBLISTER PORSIN DATO10SIN DATOCÁPSULAS CADA UNA.SIN DATOPROTEGIDO CON BOLSA LAMINADA POUCH PROLAM 200.","Activo","05/22/2014","03/06/2024","No","U","M01AB11","ACEMETACINA","ORAL","A","ACEMETACINA","mg","60","CÁPSULA DURA","CAPSULA DURA","BLISTECO S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"19948772","DICLOVERT 500 MG CÁPSULAS","INVERSIONES COMERFAR LTDA.","INVIMA 2021M-0004665-R2","2005 Aug 10 12:00:00 AM","2021 Apr 01 12:00:00 AM","En tramite renov","19948772","1","50","CAJA PLEGADIZA X 50 CAPSULAS EN BLISTER","Inactivo","11/10/2006","01/20/2016","No","U","J01CF01","DICLOXACILINA","ORAL","A","DICLOXACILINA SÓDICA EQUIVALENTE A DICLOXACILINA BASE","mg","500","CÁPSULA","CAPSULA DURA","COASPHARMA S.A.S.","FABRICANTE","FABRICAR Y VENDER",
"20009221","LUMTIL®","PROCAPS S.A.","INVIMA 2020M-0010603-R1","2010 Mar 30 12:00:00 AM","2020 Oct 01 12:00:00 AM","En tramite renov","20009221","1","1","CAJA CON 1 TUBO COLAPSIBLE X 10 G MAS 1 APLICADOR.","Activo","09/22/2009",,"No","U","G01AA10","CLINDAMICINA","VAGINAL","D","CLOTRIMAZOL","g","1","100 GRAMOS DE CREMA","CREMA VAGINAL","PROCAPS S.A.","FABRICANTE","FABRICAR Y VENDER",
"20009806","GRIPOFEN CAPSULAS","LABORATORIOS SERES S.A.S.","INVIMA 2020M-0010823-R1","2010 May 25 12:00:00 AM","2025 Dec 28 12:00:00 AM","En tramite renov","20009806","4","1","SOBRE POR 1 CAPSULA","Activo","09/15/2011","06/03/2020","No","U","N02BE51","PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS","ORAL","A","FENILEFRINA CLORHIDRATO","mg","10","CAPSULA","CAPSULA DURA","FABRIFARMA S.A.","FABRICANTE","FABRICAR Y VENDER",
